time,generation_wind
0:00,10099	
1:00,9657
2:00,9425
3:00,9877
4:00,10457	
5:00,11247	
6:00,11741	
7:00,11816
8:00,12134
9:00,12249	
10:00,12274	
11:00,11397	
12:00,11001	
13:00,8732	
14:00,6984	
15:00,6623	
16:00,5736	
17:00,5896	
18:00,5410	
19:00,4884	
20:00,5202	
21:00,5620	
22:00,5812	
23:00,5555
